Title,Genre,Price,PricingType,SalePercent,Description,ReleaseDate
Honkai: Star Rail,"[""RPG"", ""Turn-Based"", ""Sci-Fi""]",0,Free,0,"A turn-based role-playing game set in a sci-fi fantasy universe. Players travel across different planets aboard the Astral Express, engaging in strategic combat, following a story-driven narrative, and collecting characters through gacha mechanics.",2023-04-26
Genshin Impact,"[""RPG"", ""Open World"", ""Action""]",0,Free,0,"An open-world action RPG set in the fantasy world of Teyvat. Players explore vast regions, solve puzzles, fight enemies using elemental combat systems, and unlock new characters through a gacha-based progression system.",2020-09-28
Wuthering Waves,"[""RPG"", ""Action"", ""Open World""]",0,Free,0,"A post-apocalyptic open-world action RPG focused on fast-paced combat and exploration. Players uncover mysteries of a devastated world, battle enemies using combo-based mechanics, and collect characters with unique skills.",2024-05-22
Among Us,"[""Party"", ""Multiplayer"", ""Social Deduction""]",110,Sale,50,"A multiplayer social deduction game where players work together to complete tasks on a spaceship while secretly identifying impostors. The game emphasizes communication, deception, and teamwork in short match sessions.",2018-06-15
Valorant,"[""FPS"", ""Tactical"", ""Multiplayer""]",0,Free,0,"A competitive 5v5 tactical first-person shooter combining precise gunplay with unique character abilities. Players choose agents with distinct skills and compete in strategic, team-based matches.",2020-06-02
Roblox,"[""Sandbox"", ""Simulation"", ""Multiplayer""]",0,Free,0,"An online platform that allows users to create, share, and play millions of user-generated games. Roblox supports a wide range of genres and social interactions through community-created experiences.",2006-09-01
Resident Evil Requiem,"[""Survival Horror"", ""Action"", ""Thriller""]","1,890",Regular,0,"The next survival horror entry in the long-running Resident Evil series. Play as FBI analyst Grace Ashcroft facing the horrors of a ruined Raccoon City, combining survival-focused exploration, puzzles, tense combat, and cinematic storytelling. Has both standard and deluxe editions with bonus content.",2026-02-27
Cyberpunk 2077,"[""RPG"", ""Action"", ""Open World""]","1,799",Sale,55,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",2020-12-10
Monster Hunter Wilds,"[""Action RPG"", ""Open-World"", ""Multiplayer""]","2,390",Sale,11,"A major installment in the Monster Hunterseries where players explore vast biomes, take down massive monsters with a team, and craft gear from harvested parts. Released worldwide on PC via Steam.",2025-02-28
Assassin's Creed Shadows,"[""Action"", ""Open World"", ""Stealth""]","1,990",Regular,0,"A blockbuster entry in the Assassin’s Creedfranchise featuring stealth, parkour, and historical open-world exploration with a rich narrative.",2025-03-20
Final Fantasy VII Rebirth,"[""Action RPG"", ""Adventure"", ""Story-Driven""]","1,990",Sale,17,"The acclaimed sequel in the Final Fantasy VII remake trilogy, combining real-time action and deep RPG mechanics, released on PC after its console debut.",2025-01-23
Death Stranding 2: On the Beach,"[""Action"", ""Open World"", ""Adventure""]","2,390",Regular,0,A story-rich open-world action adventure where you reconnect a fractured world using strategic traversal and cinematic gameplay; its PC version launched in March 2026.,2026-03-19
Mewgenics,"[""Roguelike"", ""Strategy"", ""Indie""]",990,Regular,0,A quirky indie hit featuring strategic roguelike mechanics where players breed and evolve mutant cats with unique traits to battle enemies.,2026-02-10
The Last of Us™ Part I,"[""Action"", ""Adventure"", ""Survival""]","1,690",Sale,50,"Discover the award-winning game that inspired the critically acclaimed television show. Guide Joel and Ellie through a post-apocalyptic America, and encounter unforgettable allies and enemies in The Last of Us™.",2023-03-28
EA SPORTS FC™ 26,"[""Sports"", ""Simulation"", ""Football""]","1,999",Regular,0,"The Club is Yours in EA SPORTS FC™ 26. Play your way with an overhauled gameplay experience powered by community feedback, Manager Live Challenges that bring fresh storylines to the new season, and Archetypes inspired by greats of the game.",2025-09-26
F1® 25,"[""Racing"", ""Simulation"", ""Driving""]","1,599",Sale,60,"Leave your mark on the world of racing in F1® 25, the official video game of the 2025 FIA Formula One World Championship™, featuring a revamped My Team mode, the thrilling third chapter of Braking Point, and more!",2025-05-30
REMATCH,"[""Sports"", ""Football"", ""Multiplayer""]",590,Regular,0,Rematch is an online multiplayer football game. Control one player and compete with your team in fast-paced 5v5 matches from an immersive third-person perspective. Team up with your friends and join the action.,2025-06-19
Hollow Knight: Silksong,"[""Metroidvania"", ""Action"", ""Platformer""]",400,Regular,0,"Discover a vast, haunted kingdom in Hollow Knight: Silksong! Explore, fight and survive as you ascend to the peak of a land ruled by silk and song.",2025-09-04
Resident Evil 4,"[""Action"", ""Horror"", ""Shooter""]","1,090",Regular,0,"Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the president's kidnapped daughter to a secluded European village, where there is something terribly wrong with the locals.",2023-03-24
Elden Ring,"[""Action RPG"", ""Open World"", ""Fantasy""]","1,790",Sale,30,"Explore a massive fantasy world with challenging combat, dangerous bosses, and hidden secrets.",2022-02-25
Red Dead Redemption 2,"[""Action"", ""Open World"", ""Adventure""]","1,599",Sale,30,"Story-driven western adventure with realistic open-world exploration, missions, and memorable characters.",2018-10-26
Baldur's Gate 3,"[""RPG"", ""Strategy"", ""Turn-Based""]","1,799",Regular,0,Party-based RPG where your choices shape the story and battles use tactical turn-based combat.,2023-08-03
Stardew Valley,"[""Simulation"", ""RPG"", ""Indie""]",315,Regular,0,"Build a farm, grow crops, explore caves, fish, and make friends in a peaceful town.",2016-02-26
Terraria,"[""Sandbox"", ""Survival"", ""Adventure""]",220,Regular,0,"Dig, build, craft, and fight powerful bosses in a huge 2D sandbox world.",2011-05-16