Title,Genre,Price,PricingType,SalePercent,Description,ReleaseDate,ImageUrl,GalleryImages
Honkai: Star Rail,"[""RPG"", ""Turn-Based"", ""Sci-Fi""]",0,Free,0,"A turn-based role-playing game set in a sci-fi fantasy universe. Players travel across different planets aboard the Astral Express, engaging in strategic combat, following a story-driven narrative, and collecting characters through gacha mechanics.",2023-04-26,https://fastcdn.hoyoverse.com/content-v2/hkrpg/162681/8698fae5d74a28e18f0202a4a894d0f3_5567579011815628028.jpg,"[""https://fastcdn.hoyoverse.com/content-v2/hkrpg/162706/df81716190a76d5d73ffd08c884c9a62_5517566128415751305.png"",""https://fastcdn.hoyoverse.com/content-v2/hkrpg/162589/d7f16733ce24ce17e0a200a4d3f0e870_4485408830878176463.jpg""]"
Genshin Impact,"[""RPG"", ""Open World"", ""Action""]",0,Free,0,"An open-world action RPG set in the fantasy world of Teyvat. Players explore vast regions, solve puzzles, fight enemies using elemental combat systems, and unlock new characters through a gacha-based progression system.",2020-09-28,https://fastcdn.hoyoverse.com/content-v2/plat/124031/5d2ba4371115d26de4c574b28311aed8_3908500551050520494.jpeg,"[""https://media.wired.com/photos/5f74d2f4df8a35780989d792/3:2/w_2560%2Cc_limit/Genshin%2520Impact%2520_Keyart.png""]"
Wuthering Waves,"[""RPG"", ""Action"", ""Open World""]",0,Free,0,"A post-apocalyptic open-world action RPG focused on fast-paced combat and exploration. Players uncover mysteries of a devastated world, battle enemies using combo-based mechanics, and collect characters with unique skills.",2024-05-22,https://gaming-cdn.com/images/products/18945/orig/wuthering-waves-pc-spil-steam-cover.jpg?v=1749478082,"[""https://cdn.oneesports.co.th/cdn-data/sites/3/2024/05/Wuthering-Waves.jpg""]"
Among Us,"[""Party"", ""Multiplayer"", ""Social Deduction""]",110,Sale,50,"A multiplayer social deduction game where players work together to complete tasks on a spaceship while secretly identifying impostors. The game emphasizes communication, deception, and teamwork in short match sessions.",2018-06-15,https://cdn.aptoide.com/imgs/d/4/6/d460a63e167a534bc7b9e4f1eaeed7dc_fgraphic.png,"[""https://img.4gamers.com.tw/ckfinder-th/image2/auto/2024-03/Among-Us-240329-003453.png?versionId=JYTELHCjp4QIUs5UKsdDUSElQHcv7t62"",""https://static0.thegamerimages.com/wordpress/wp-content/uploads/2023/11/among-us-impostor.jpg?w=1600&h=900&fit=crop""]"
Valorant,"[""FPS"", ""Tactical"", ""Multiplayer""]",0,Free,0,"A competitive 5v5 tactical first-person shooter combining precise gunplay with unique character abilities. Players choose agents with distinct skills and compete in strategic, team-based matches.",2020-06-02,https://cdn1.epicgames.com/offer/cbd5b3d310a54b12bf3fe8c41994174f/EGS_VALORANT_RiotGames_S1_2560x1440-e1dab02ef10e4470a609affcfb8f1a1a,
Roblox,"[""Sandbox"", ""Simulation"", ""Multiplayer""]",0,Free,0,"An online platform that allows users to create, share, and play millions of user-generated games. Roblox supports a wide range of genres and social interactions through community-created experiences.",2006-09-01,https://images.rbxcdn.com/28ab48fcd5d5b19b03c126d2b6aef4b8.jpg,
Resident Evil Requiem,"[""Survival Horror"", ""Action"", ""Thriller""]","1,890",Regular,0,"The next survival horror entry in the long-running Resident Evil series. Play as FBI analyst Grace Ashcroft facing the horrors of a ruined Raccoon City, combining survival-focused exploration, puzzles, tense combat, and cinematic storytelling. Has both standard and deluxe editions with bonus content.",2026-02-27,https://image.api.playstation.com/vulcan/ap/rnd/202512/1205/74bb57eb10447ae35775f625271f202360bae45cb3572da5.jpg,
Cyberpunk 2077,"[""RPG"", ""Action"", ""Open World""]","1,799",Sale,55,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",2020-12-10,https://cdn1.epicgames.com/offer/77f2b98e2cef40c8a7437518bf420e47/EGS_Cyberpunk2077_CDPROJEKTRED_S1_03_2560x1440-359e77d3cd0a40aebf3bbc130d14c5c7,
Monster Hunter Wilds,"[""Action RPG"", ""Open-World"", ""Multiplayer""]","2,390",Sale,11,"A major installment in the Monster Hunterseries where players explore vast biomes, take down massive monsters with a team, and craft gear from harvested parts. Released worldwide on PC via Steam.",2025-02-28,https://image.api.playstation.com/vulcan/ap/rnd/202409/0506/aa5c40ba185302dfcc88edc276a876fdc6c516c4db07ec9d.png,
Assassin's Creed Shadows,"[""Action"", ""Open World"", ""Stealth""]","1,990",Regular,0,"A blockbuster entry in the Assassin’s Creedfranchise featuring stealth, parkour, and historical open-world exploration with a rich narrative.",2025-03-20,https://cdn1.epicgames.com/offer/14a28903e3d14bd5aa3e6dbf10868126/EN_EGST_StoreLandscape_2560x1440_2560x1440-35f77ef342bb2d3a3efac25f4fa4d4e0,
Final Fantasy VII Rebirth,"[""Action RPG"", ""Adventure"", ""Story-Driven""]","1,990",Sale,17,"The acclaimed sequel in the Final Fantasy VII remake trilogy, combining real-time action and deep RPG mechanics, released on PC after its console debut.",2025-01-23,https://cdn1.epicgames.com/offer/e9a679451d094c1ba3d008b6a01adec5/EGS_FINALFANTASYVIIREBIRTH_SquareEnix_S1_2560x1440-e254f978084058f898118dc49728d04c,
Death Stranding 2: On the Beach,"[""Action"", ""Open World"", ""Adventure""]","2,390",Regular,0,A story-rich open-world action adventure where you reconnect a fractured world using strategic traversal and cinematic gameplay; its PC version launched in March 2026.,2026-03-19,https://www.kojimaproductions.jp/sites/default/files/2025-12/wellcome_ds2_pc_0.jpg,
Mewgenics,"[""Roguelike"", ""Strategy"", ""Indie""]",990,Regular,0,A quirky indie hit featuring strategic roguelike mechanics where players breed and evolve mutant cats with unique traits to battle enemies.,2026-02-10,https://frvr.com/wp-content/uploads/2026/02/mewgenics-release-date-and-times.jpg,
The Last of Us™ Part I,"[""Action"", ""Adventure"", ""Survival""]","1,690",Sale,50,"Discover the award-winning game that inspired the critically acclaimed television show. Guide Joel and Ellie through a post-apocalyptic America, and encounter unforgettable allies and enemies in The Last of Us™.",2023-03-28,https://cdn1.epicgames.com/offer/0c40923dd1174a768f732a3b013dcff2/EGS_TheLastofUsPartI_NaughtyDogLLC_S1_2560x1440-3659b5fe340f8fc073257975b20b7f84,
EA SPORTS FC™ 26,"[""Sports"", ""Simulation"", ""Football""]","1,999",Regular,0,"The Club is Yours in EA SPORTS FC™ 26. Play your way with an overhauled gameplay experience powered by community feedback, Manager Live Challenges that bring fresh storylines to the new season, and Archetypes inspired by greats of the game.",2025-09-26,https://cdn1.epicgames.com/offer/1d4d85b1051e41ee8f1a099e99d59f3f/EGS_EASPORTSFC26StandardEdition_EACANADA_S1_2560x1440-efabe29766334696db018632ea5ba492,
F1® 25,"[""Racing"", ""Simulation"", ""Sports""]","1,599",Sale,60,"Leave your mark on the world of racing in F1® 25, the official video game of the 2025 FIA Formula One World Championship™, featuring a revamped My Team mode, the thrilling third chapter of Braking Point, and more!",2025-05-30,https://image.api.playstation.com/vulcan/ap/rnd/202505/1521/ca36c3ae7641a273ff3f00e63732fb76e2850c57f577d6eb.jpg,
REMATCH,"[""Sports"", ""Multiplayer"", ""Football""]",590,Regular,0,Rematch is an online multiplayer football game. Control one player and compete with your team in fast-paced 5v5 matches from an immersive third-person perspective. Team up with your friends and join the action.,2025-06-19,https://media.online-station.net/images/2025/06/0b52bc5e524a1fc830f95eb1e98955e5.jpg,
Hollow Knight: Silksong,"[""Action"", ""Adventure"", ""Platformer""]",400,Regular,0,"Discover a vast, haunted kingdom in Hollow Knight: Silksong! Explore, fight and survive as you ascend to the peak of a land ruled by silk and song.",2025-09-04,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch2/70010000105851/8787627be7f26ae7984456ffd9af17bea845032cebbf59fe6eeb596dea6bb20e",
Resident Evil 4,"[""Survival Horror"", ""Action"", ""Third-Person Shooter""]","1,090",Regular,0,"Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the president's kidnapped daughter to a secluded European village, where there is something terribly wrong with the locals.",2023-03-24,https://thethaiger.com/th/wp-content/uploads/2023/03/Resident-Evil-4-Remake-%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%99.jpg,